initial_value	min_pos	min_value	max_pos_99.8	final_value	a	g	pEndemic
0.5508	9	0.2003	0	0.2003	0.36	20.0	0.1
0.6584	8	0.4828	0	0.5236	0.36	10.0	0.3
0.5006	5	0.4457	0	0.4699	0.77	5.0	0.0
0.6006	8	0.4348	0	0.4408	0.46	10.0	0.2
0.9478	4	0.9253	9	0.9928	0.36	5.0	0.9
0.8563	9	0.5625	0	0.5625	0.77	15.0	0.7
0.6017	9	0.2212	0	0.2212	0.17	20.0	0.2
0.6969	5	0.6433	9	0.9376	0.22	5.0	0.4
0.8987	8	0.635	0	0.6586	0.13	20.0	0.8
0.4973	0	0.4973	9	0.7312	0.17	0.0	0.0
0.5504	5	0.5251	9	0.8567	0.13	5.0	0.1
0.904	1	0.8965	9	0.9876	0.46	0.0	0.8
0.6969	9	0.3914	0	0.3914	0.28	15.0	0.4
0.8992	9	0.5546	0	0.5546	0.77	20.0	0.8
0.55	1	0.5473	9	0.9844	0.1	0.0	0.1
0.4999	9	0.2158	0	0.2158	0.6	15.0	0.0
0.7035	1	0.7005	9	0.9623	0.36	0.0	0.4
0.5592	9	0.2518	0	0.2518	0.1	15.0	0.1
0.7506	0	0.7506	9	0.9943	0.22	0.0	0.5
0.5496	5	0.5166	9	0.8229	0.17	5.0	0.1
0.4963	0	0.4963	9	0.7693	0.13	0.0	0.0
0.6039	9	0.2247	0	0.2247	0.1	20.0	0.2
0.6558	9	0.2439	0	0.2439	0.6	20.0	0.3
0.9481	4	0.9287	9	0.9865	0.46	5.0	0.9
0.7526	7	0.5963	0	0.7121	0.28	10.0	0.5
0.8552	9	0.505	0	0.505	0.28	20.0	0.7
0.4995	5	0.4884	9	0.7403	0.1	5.0	0.0
0.5489	9	0.3835	0	0.3835	0.6	10.0	0.1
0.7417	4	0.6871	9	0.9143	0.36	5.0	0.5
0.5023	9	0.3818	0	0.3818	0.1	10.0	0.0
0.4967	9	0.3495	0	0.3495	0.6	10.0	0.0
0.7031	5	0.639	9	0.8772	0.36	5.0	0.4
0.5524	9	0.4311	0	0.4311	0.1	10.0	0.1
0.7956	9	0.4215	0	0.4215	0.28	20.0	0.6
0.5495	5	0.5262	9	0.8922	0.1	5.0	0.1
0.8992	4	0.8558	9	0.9654	0.46	5.0	0.8
0.7012	7	0.5373	0	0.6276	0.28	10.0	0.4
0.6521	9	0.2549	0	0.2549	0.1	20.0	0.3
0.6024	9	0.2126	0	0.2126	0.6	20.0	0.2
0.5519	1	0.5455	9	0.9714	0.13	0.0	0.1
0.5025	5	0.4788	9	0.683	0.17	5.0	0.0
0.7043	1	0.6936	9	0.9911	0.22	0.0	0.4
0.5557	9	0.2415	0	0.2415	0.6	15.0	0.1
0.7473	0	0.7473	9	0.9751	0.36	0.0	0.5
0.5006	9	0.2197	0	0.2197	0.1	15.0	0.0
0.5048	1	0.4992	9	0.8019	0.1	0.0	0.0
0.9505	0	0.9505	9	0.9953	0.46	0.0	0.9
0.7502	9	0.4575	0	0.4575	0.28	15.0	0.5
0.9477	9	0.7346	0	0.7346	0.77	20.0	0.9
0.4968	5	0.4869	9	0.7087	0.13	5.0	0.0
0.95	8	0.7837	0	0.8305	0.13	20.0	0.9
0.5438	0	0.5438	9	0.9492	0.17	0.0	0.1
0.7483	5	0.6943	9	0.9648	0.22	5.0	0.5
0.8011	9	0.4709	0	0.4709	0.77	15.0	0.6
0.6558	9	0.2564	0	0.2564	0.17	20.0	0.3
0.6031	8	0.4442	0	0.4568	0.36	10.0	0.2
0.5488	6	0.4876	0	0.529	0.77	5.0	0.1
0.6481	8	0.4654	0	0.5013	0.46	10.0	0.3
0.9	4	0.8622	9	0.9804	0.36	5.0	0.8
0.5511	5	0.4948	9	0.5804	0.6	5.0	0.1
0.5438	9	0.1952	0	0.1952	0.46	20.0	0.1
0.5009	9	0.1831	0	0.1831	0.36	20.0	0.0
0.5593	8	0.4293	0	0.4304	0.17	10.0	0.1
0.6538	1	0.6522	9	0.9676	0.28	0.0	0.3
0.8995	6	0.8027	9	0.9333	0.28	10.0	0.8
0.7013	5	0.6289	9	0.8275	0.46	5.0	0.4
0.8021	8	0.5392	0	0.5717	0.13	15.0	0.6
0.6521	8	0.4874	0	0.5536	0.22	10.0	0.3
0.554	9	0.2002	0	0.2002	0.22	20.0	0.1
0.8982	0	0.8982	9	0.9992	0.22	0.0	0.8
0.8497	7	0.6968	0	0.7368	0.77	10.0	0.7
0.6468	9	0.3332	0	0.3332	0.36	15.0	0.3
0.597	9	0.2844	0	0.2844	0.46	15.0	0.2
0.495	0	0.495	9	0.5306	0.77	0.0	0.0
0.9535	1	0.9494	9	0.9971	0.36	0.0	0.9
0.5013	1	0.5012	9	0.5567	0.6	0.0	0.0
0.6	5	0.5572	9	0.8165	0.28	5.0	0.2
0.9479	7	0.8537	0	0.9112	0.28	15.0	0.9
0.4991	9	0.2194	0	0.2194	0.17	15.0	0.0
0.749	0	0.749	9	0.9499	0.46	0.0	0.5
0.7506	9	0.3214	0	0.3214	0.77	20.0	0.5
0.8537	6	0.7368	9	0.9177	0.13	10.0	0.7
0.5994	9	0.2891	0	0.2891	0.22	15.0	0.2
0.9493	3	0.926	9	0.998	0.22	5.0	0.9
0.7443	9	0.3634	0	0.3634	0.13	20.0	0.5
0.6024	5	0.5548	9	0.8575	0.22	5.0	0.2
0.7952	0	0.7952	9	0.9987	0.17	0.0	0.6
0.8507	4	0.8019	9	0.9953	0.13	5.0	0.7
0.95	7	0.8535	0	0.9239	0.22	15.0	0.9
0.9502	4	0.9281	9	0.9947	0.28	5.0	0.9
0.5997	9	0.2891	0	0.2891	0.28	15.0	0.2
0.8504	1	0.8474	8	0.9997	0.1	0.0	0.7
0.8992	8	0.7096	0	0.7737	0.36	15.0	0.8
0.799	9	0.4902	0	0.4902	0.6	15.0	0.6
0.849	8	0.6294	0	0.703	0.1	15.0	0.7
0.9502	8	0.846	0	0.8852	0.46	15.0	0.9
0.5967	0	0.5967	9	0.8937	0.36	0.0	0.2
0.6468	0	0.6468	9	0.9842	0.22	0.0	0.3
0.8501	4	0.7975	9	0.9927	0.17	5.0	0.7
0.8014	0	0.8014	8	0.9992	0.13	0.0	0.6
0.9011	6	0.8072	9	0.9468	0.22	10.0	0.8
0.7003	9	0.3065	0	0.3065	0.1	20.0	0.4
0.7518	9	0.3292	0	0.3292	0.6	20.0	0.5
0.8987	0	0.8987	9	0.9978	0.28	0.0	0.8
0.6491	8	0.4887	0	0.5329	0.28	10.0	0.3
0.5518	9	0.1986	0	0.1986	0.28	20.0	0.1
0.9016	8	0.6262	0	0.6508	0.17	20.0	0.8
0.7991	4	0.7568	9	0.9949	0.1	5.0	0.6
0.8549	7	0.7033	0	0.7899	0.6	10.0	0.7
0.9488	6	0.8925	9	0.9659	0.36	10.0	0.9
0.8992	7	0.7954	0	0.9006	0.46	10.0	0.8
0.795	7	0.6638	9	0.8688	0.1	10.0	0.6
0.652	4	0.5971	9	0.8294	0.36	5.0	0.3
0.6076	9	0.2238	0	0.2238	0.13	20.0	0.2
0.7513	9	0.4625	0	0.4625	0.22	15.0	0.5
0.506	9	0.3781	0	0.3781	0.13	10.0	0.0
0.6076	1	0.5981	9	0.8338	0.46	0.0	0.2
0.7564	4	0.6934	9	0.9449	0.28	5.0	0.5
0.8486	8	0.6136	0	0.6831	0.17	15.0	0.7
0.5991	9	0.2074	0	0.2074	0.77	20.0	0.2
0.8514	0	0.8514	9	0.9558	0.6	0.0	0.7
0.7064	9	0.3877	0	0.3877	0.36	15.0	0.4
0.7523	9	0.4346	0	0.4346	0.46	15.0	0.5
0.8518	0	0.8518	9	0.9146	0.77	0.0	0.7
0.5007	9	0.3316	0	0.3316	0.77	10.0	0.0
0.7984	9	0.4293	0	0.4293	0.22	20.0	0.6
0.6984	8	0.5435	0	0.6403	0.22	10.0	0.4
0.5486	9	0.2515	0	0.2515	0.13	15.0	0.1
0.648	5	0.5863	9	0.7815	0.46	5.0	0.3
0.7977	7	0.6611	9	0.8417	0.17	10.0	0.6
0.6925	0	0.6925	9	0.9807	0.28	0.0	0.4
0.9018	8	0.6362	0	0.6683	0.1	20.0	0.8
0.8032	4	0.7375	9	0.8655	0.6	5.0	0.6
0.7984	9	0.4039	0	0.4039	0.46	20.0	0.6
0.8474	9	0.4913	0	0.4913	0.36	20.0	0.7
0.9525	8	0.7668	0	0.7671	0.6	20.0	0.9
0.7531	7	0.5876	0	0.6851	0.36	10.0	0.5
0.8011	5	0.7386	9	0.8093	0.77	5.0	0.6
0.6994	8	0.5206	0	0.5697	0.46	10.0	0.4
0.5558	9	0.2391	0	0.2391	0.77	15.0	0.1
0.7032	9	0.2976	0	0.2976	0.17	20.0	0.4
0.4973	9	0.2143	0	0.2143	0.77	15.0	0.0
0.7534	9	0.363	0	0.363	0.17	20.0	0.5
0.7034	8	0.5328	0	0.5966	0.36	10.0	0.4
0.8508	5	0.792	9	0.8571	0.77	5.0	0.7
0.7495	7	0.5802	0	0.6594	0.46	10.0	0.5
0.9517	8	0.7943	0	0.842	0.1	20.0	0.9
0.8472	5	0.7948	9	0.904	0.6	5.0	0.7
0.8468	9	0.4744	0	0.4744	0.46	20.0	0.7
0.8028	9	0.4144	0	0.4144	0.36	20.0	0.6
0.9035	9	0.578	0	0.578	0.6	20.0	0.8
