max_left_position,max_left_value,max_right_position,max_right_value,min_position,min_value,ratio_of_peaks,euclidean_distance,a,g,pEndemic
4,0.4985,0,0.0,9,0.1342,0.0,0.0,0.77,10.0,0.7
6,0.9875,0,0.0,9,0.7064,0.0,0.0,0.36,15.0,0.3
5,0.9933,0,0.0,9,0.7666,0.0,0.0,0.46,15.0,0.2
0,0.23,0,0.0,9,0.0142,0.0,0.0,0.77,0.0,0.0
0,0.64,9,0.6349,3,0.604,1.008,5.5496,0.36,0.0,0.9
0,0.4,0,0.0,9,0.0343,0.0,0.0,0.6,0.0,0.0
0,0.9237,9,0.4588,7,0.3344,2.0133,3.4706,0.28,5.0,0.2
6,0.7773,0,0.0,9,0.6567,0.0,0.0,0.28,15.0,0.9
5,1.0,0,0.0,9,0.9789,0.0,0.0,0.17,15.0,0.0
0,0.54,9,0.4783,4,0.3569,1.129,6.707,0.46,0.0,0.5
6,0.9424,0,0.0,9,0.5234,0.0,0.0,0.77,20.0,0.5
4,0.9221,9,0.7841,8,0.7448,1.176,1.6577,0.13,10.0,0.7
